광주광역시,동구,서구,남구,북구,광산구,
초등학교,초등학교,초등학교,초등학교,초등학교,초등학교,
,계림초,광림초,농성초,각화초,고실초,
,광주남초,광주서초,대성초,건국초,금구초,
,광주장원초,광천초,대촌중앙초,경양초,도산초,
,광주중앙초,금당초,무학초,광주동초,동곡초,
,동산초,금부초,백운초,광주북초,대반초,
,산수초,금호초,봉선초,광주사대부초,마지초,
,서석초,극락초,봉주초,문화초,목련초,
,용산초,계수초,불로초,문산초,미산초,
,율곡초,남면중,방림초,문우초,본량초,
,지한초,만호초,빛여울초,문정초,봉산초,
,학운초,마재초,삼육초,문흥초,비아초,
,,빛고을초,송원초,문흥중앙초,산정초,
,,살레시오초,양과초,무등초,산월초,
,,상무초,유안초,매곡초,삼도초,
,,서광초,월산초,본촌초,새별초,
,,송학초,장산초,서림초,선운초,
,,신암초,제석초,서산초,선창초,
,,양동초,조봉초,서일초,성덕초,
,,염주초,진남초,삼각초,송우초,
,,운리초,진월초,삼정초,송정초,
,,운천초,진제초,수창초,송정동초,
,,유덕초,학강초,신용초,송정서초,
,,유촌초,효덕초,양산초,송정중앙초,
,,주월초,효천초,양지초,수문초,
,,치평초,,연제초,수완초,
,,풍암초,,오정초,신창초,
,,화개초,,오치초,안청초,
,,화정초,,용봉초,어등초,
,,화정남초,,용두초,어룡초,
,,,,용주초,영천초,
,,,,우산초,운남초,
,,,,운암초,월계초,
,,,,일곡초,월곡초,
,,,,일동초,월봉초,
,,,,일신초,은빛초,
,,,,중흥초,임곡초,
,,,,지산초,장덕초,
,,,,참미르초,정암초,
,,,,태봉초,진만초,
,,,,풍향초,첨단초,
,,,,하백초,큰별초,
,,,,한울초,평동초,
,,,,효동초,풍영초,
,,,,동림초,하남초,
,,,,동운초,하남중앙초,
,,,,두암초,,
중학교,중학교,중학교,중학교,중학교,중학교,
,무등중,광덕중,대성여중,각화중,고실중,
,살레시오여중,광주중,대촌중,경신중,광산중,
,운림중,금호중,동성중,고려중,금구중,
,조대부중,대자중,동성여중,광주예술중,봉산중,
,조대여중,동명중,동아여중,광주체육중,산정중,
,충장중,상무중,무진중,금호중앙중,성덕중,
,,상일중,문성중,동신중,송광중,
,,서석중,봉선중,동신여중,송정중,
,,운리중,서광중,두암중,수완중,
,,유덕중,송원중,문화중,수완하나중,
,,전남중,수피아여중,문산중,신가중,
,,치평중,숭의중,문흥중,신창중,
,,풍암중,주월중,북성중,영천중,
,,화정중,진남중,살레시오중,운남중,
,,효광중,호남삼육중,서강중,월계중,
,,,효천중,숭일중,월곡중,
,,,,신광중,월봉중,
,,,,신용중,임곡중,
,,,,양산중,장덕중,
,,,,용두중,정광중,
,,,,용봉중,진흥중,
,,,,우산중,천곡중,
,,,,운암중,첨단중,
,,,,일곡중,평동중,
,,,,일동중,하남중,
,,,,일신중,,
,,,,전남사대부중,,
,,,,지산중,,
고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,
,광주고,광덕고,광주여자상업고,고려고,광산고,
,살레시오여고,광주여고,대광여고,광주AI영재고,광주자동화설비마이스터고, 
,전남여고,대동고,대성여고,광주과학고,광주전자공업고,
,조대부고,상일여고,동성고,광주공업고,광주소프트웨어마이스터고, 
,조대여고,상무고,동아여고,광주동신고,광일고,
,,서석고,동일미래과학고,광주예술고,명진고,
,,전남고,문성고,광주자연과학고,보문고,
,,풍암고,서진여고,광주제일고,비아고,
,,,설월여고,광주체육고,성덕고,
,,,석산고,금파공업고,수완고,
,,,송원고,금호고,숭덕고,
,,,송원미래인재고,금호중앙여고,운남고,
,,,송원여고,국제고,장덕고,
,,,수피아여고,경신여고,전남공업고,
,,,숭의과학기술고,동신여고,정광고,
,,,인성고,문정여고,진흥고,
,,,호남삼육고,빛고을고,첨단고,
,,,,살레시오고,동명고,
,,,,서강고,,
,,,,숭일고,,
,,,,전남사대부고,,
,,,,전남여자상업고,,
